what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453295459
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425453298689
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453300076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453398796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453400813
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453565182
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425453584248
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425453599633
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453630383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453664333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453677989
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453699055
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1425453707775
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1425453707858
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1425453707885
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1425453708147
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1425453708158
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1425453709590
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453718073
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453735500
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1425453735541
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425453746570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453755642
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453757858
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425453772279
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425454859367
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425454865301
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425454866487
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425454902032
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425454913350
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1425454926032
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425454931830
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425454936645
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425454954188
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425454958796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455345143
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455347763
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455349308
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455352197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455381374
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455401338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455403953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455404661
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455409136
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455410552
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455454340
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455469397
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455473369
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425455479817
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1425455503285
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425455505591
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425455523847
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455526113
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455573231
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425455576243
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455578154
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455579395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455579854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455592295
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455597044
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425455632561
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425455636738
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425455637122
