what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425254888235
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425254888286
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425255013632
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425255018570
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255022989
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255025940
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255034743
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255039438
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255058810
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255065215
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255115440
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1425255126406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425255133097
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1425255135260
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1425255135668
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1425255136294
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425255139602
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1425255146548
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425255149968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425255155565
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255157759
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255158841
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425255172791
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425255180221
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255228680
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425255270274
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255278335
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425255323751
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255336097
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1425255396798
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1425255397645
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1425255398379
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425255400290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1425255461767
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255473999
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255475588
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255478079
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255484224
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425255485497
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255509297
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255517473
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255574289
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425255617993
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255618012
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425255622753
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255628360
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255628538
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1425255637932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255639400
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255639620
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255640194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255653432
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255653668
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255653823
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425255687138
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425255690289
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255690667
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255690896
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1425255701090
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1425255706398
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255709426
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255709642
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1425255728397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255763228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255763450
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1425255775570
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425255788937
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1425255795308
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425255814390
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255814774
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425255819364
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255819769
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425255822072
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255822462
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1425255827061
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425255828424
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255828806
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425255834652
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1425255860732
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425255868871
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255869203
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425255874934
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425255876228
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255876591
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425255882757
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1425255886238
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425255888229
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425255899842
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255905638
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255984707
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425255987754
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425255989557
started,bundle,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.ui",1425255994645
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1425255994769
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1425255995099
started,bundle,org.eclipse.jst.jsp.core,1.2.302.v201008251735,"org.eclipse.jst.jsp.core",1425255995176
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1425256004796
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1425256005683
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256006306
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1425256006379
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256009657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256016633
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1425256016650
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256022939
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256023134
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425256033328
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256033717
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425256035409
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256035754
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425256046183
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256046525
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425256062319
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256062665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256081972
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256273097
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256279824
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256281923
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256285376
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425256286483
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256288615
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425256295147
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1425256302883
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256304289
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256449976
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256452578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256472054
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256474754
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256479736
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256482496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256483558
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256486402
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256487335
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256489565
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425256493769
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425256523822
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1425256547264
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1425256547964
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1425256551928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256553701
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256553936
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425256561541
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256579780
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1425256623310
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425256624352
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256641264
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenDebugConfigurations",1425256641356
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425256643030
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256643903
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256651262
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1425256651292
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256652798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256654072
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256678496
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256687476
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256698003
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1425256698061
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425256701188
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425256723892
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256724799
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256741499
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425256747467
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256768324
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256771428
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256774984
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425256786003
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256787134
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256801268
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1425256801315
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256802636
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425256806508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256824154
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256898005
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425256905049
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256922859
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256937839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256944227
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256947101
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256952406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1425256953752
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1425256954519
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425256957531
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256961455
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256971797
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256972327
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256972480
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1425256973564
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425256974062
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425256975164
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1425256983858
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256985045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256985283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256985516
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425256988757
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256988934
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256989072
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425256991375
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256991720
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1425256992889
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1425256993499
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425256994987
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1425256995313
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.selectAll",1425256996799
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1425256997315
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1425256998217
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1425257005002
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425257006480
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1425257007854
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1425257009161
